id;start_date;end_date;language
1;2021-11-26T11:14:59;2021-11-26T09:05:14;SPANISH
2;2021-11-25T16:05:10;2021-11-26T11:09:35;SPANISH
3;2021-11-26T07:00:29;2021-11-25T17:34:38;FRENCH
4;2021-11-25T22:18:00;2021-11-26T09:49:26;FRENCH
5;2021-11-26T07:48:18;2021-11-26T12:35:17;FRENCH
6;2021-11-26T01:40:39;2021-11-26T13:48:53;FRENCH
7;2021-11-26T03:25:59;2021-11-25T21:16:50;FRENCH
8;2021-11-26T02:22:12;2021-11-26T12:38:20;SPANISH
9;2021-11-26T01:03:21;2021-11-25T21:44:44;SPANISH
10;2021-11-26T09:15:25;2021-11-25T19:49:55;SPANISH
